Category ID	Category Name	Number	Name
102	Scala	scaFemA05	Scala Doll Female Adult (Olivia)
102	Scala	x30	Scala Doll Male Adult (Christian)
54	Aquazone / Aquanauts	aqu001	Aquanaut 1
54	Aquazone / Aquanauts	aqu002	Aquanaut 2
54	Aquazone / Aquanauts	aqu003	Aquanaut 3
54	Aquazone / Aquaraiders I	aqu004	Aquaraider 1 with Hook
54	Aquazone / Aquaraiders I	aqu005	Aquaraider 2
54	Aquazone / Aquasharks	aqu006	Aquashark 1
54	Aquazone / Aquasharks	aqu007	Aquashark 2
54	Aquazone / Aquasharks	aqu008	Aquashark Hybrid
54	Aquazone / Hydronauts	aqu009	Hydronaut 1
54	Aquazone / Hydronauts	aqu010	Hydronaut 2
54	Aquazone / Hydronauts	aqu011	Hydronaut 3
54	Aquazone / Stingrays	aqu012	Stingray 1
54	Aquazone / Stingrays	aqu013	Stingray 2
54	Aquazone / Stingrays	aqu014	Stingray 3
9	Castle / Dark Forest	cas004	Dark Forest - Forestman 1
9	Castle / Dark Forest	cas006	Dark Forest - Forestman 2
9	Castle / Dark Forest	cas008	Dark Forest - Forestman 3 with Quiver
9	Castle / Dark Forest	cas009	Dark Forest - Forestman 4, Light Gray Legs with Black Hips
9	Castle / Dark Forest	cas010	Dark Forest - Forestman 4, Brown Legs
9	Castle / Dragon Knights	cas011	Dragon Knights - Dragon Master, Red Plumes
9	Castle / Dragon Knights	cas012	Dragon Knights - Knight 1, Light Gray Legs with Black Hips, Black Chin-Guard
9	Castle / Dragon Knights	cas013	Dragon Knights - Knight 1, Light Gray Legs with Black Hips, Black Neck-Protector
9	Castle / Dragon Knights	cas014	Dragon Knights - Knight 1, Light Gray Legs, Black Neck-Protector
9	Castle / Dragon Knights	cas015	Dragon Knights - Knight 2, Black Legs with Red Hips, Black Dragon Helmet, Blue Plumes
9	Castle / Dragon Knights	cas016	Dragon Knights - Knight 2, Black Legs with Red Hips, Dark Gray Neck-Protector
9	Castle / Dragon Knights	cas017	Dragon Knights - Knight 2, Black Legs, Black Dragon Helmet, Red Plumes
9	Castle / Dragon Knights	cas018	Dragon Knights - Knight 2, Black Legs with Red Hips, Black Dragon Helmet, Yellow Plumes
9	Castle / Dragon Knights	cas019	Dragon Knights - Majisto Wizard, no Cape
9	Castle / Fright Knights	cas022	Fright Knights - Bat Lord with Cape
9	Castle / Fright Knights	cas023	Fright Knights - Knight 1, Black Dragon Helmet, no Plume
9	Castle / Fright Knights	cas026	Fright Knights - Knight 2, Black Neck-Protector
9	Castle / Fright Knights	cas027	Fright Knights - Knight 2, Black Chin-Guard
9	Castle / Fright Knights	cas029	Fright Knights - Knight 3, Red Legs with Black Hips, Black Neck-Protector
9	Castle / Fright Knights	cas030	Fright Knights - Knight 3, Red Legs, Black Neck-Protector
9	Castle / Fright Knights	cas032	Fright Knights - Witch with Cape
9	Castle / Knights Kingdom I	cas033	Knights' Kingdom I - Queen Leonora (Maiden with Black Cone Hat)
9	Castle / Knights Kingdom I	cas034	Knights' Kingdom I - Princess Storm, Female Knight
9	Castle / Knights Kingdom I	cas035	Knights' Kingdom I - King Leo
9	Castle / Knights Kingdom I	cas036	Knights' Kingdom I - Knight 1, Dark Gray Helmet, Black Visor
9	Castle / Knights Kingdom I	cas037	Knights' Kingdom I - Knight 1, no Quiver
9	Castle / Knights Kingdom I	cas039	Knights' Kingdom I - Knight 2, no Quiver
9	Castle / Knights Kingdom I	cas041	Knights' Kingdom I - Gilbert the Bad, Black Dragon Helmet
9	Castle / Knights Kingdom I	cas042	Knights' Kingdom I - Robber 1, Black Neck-Protector
9	Castle / Knights Kingdom I	cas043	Knights' Kingdom I - Gilbert the Bad, Black Dragon Helmet, Horn, no Quiver
9	Castle / Knights Kingdom I	cas044	Knights' Kingdom I - Robber 2, Black Chin-Guard
9	Castle / Knights Kingdom I	cas045	Knights' Kingdom I - Robber 2, Black Dragon Helmet
9	Castle / Knights Kingdom I	cas046	Knights' Kingdom I - Cedric the Bull (Robber Chief)
284	Ninja	cas048	Ninja - Black
284	Ninja	cas049	Ninja - Gray
284	Ninja	cas050	Ninja - Red
284	Ninja	cas051	Ninja - Master
284	Ninja	cas052	Ninja - Robber, Brown
284	Ninja	cas053	Ninja - Robber, Green
284	Ninja	cas054	Ninja - Samurai, Blue Old
284	Ninja	cas055	Ninja - Samurai, Blue Young
284	Ninja	cas056	Ninja - Shogun, Blue with Armor
284	Ninja	cas057	Ninja - Shogun, White with Armor
284	Ninja	cas058	Ninja - Princess, White
9	Castle / Royal Knights	cas059	Royal Knights - King, with black/white legs
9	Castle / Royal Knights	cas060	Royal Knights - King, with cape and blue legs
9	Castle / Royal Knights	cas061	Royal Knights - Knight 1, Black Chin-Guard, no Quiver
9	Castle / Royal Knights	cas063	Royal Knights - Knight 2 with Plume
9	Castle / Royal Knights	cas064	Royal Knights - Knight 3, Black Neck-Protector
9	Castle / Royal Knights	cas065	Royal Knights - Knight 3, Dark Gray Neck-Protector
9	Castle / Royal Knights	cas066	Royal Knights - Knight 4, Dark Gray Neck-Protector
